,function_type,function_input,predicted_cpu,predicted_frequency,energy,duration,cpu_util,prediction_time
37,encrypt,"['5000', '30']",2,1200000,30.37462417373213,3560.0,1.01763176521461,0.19955259608104825
38,imageprocess,['5.7M-winter_in_leeds_513733.jpg'],3,1400000,11.641466250781836,2749.0,1.0638891207047587,0.32848711602855474
39,linpack,['2000'],25,1000000,279.05781723822093,14351.0,29.440824623331395,0.17586161708459258
40,linpack,['1000'],25,1000000,120.17864298137098,7460.0,27.8744177230769,0.17370594304520637
41,imageprocess,['3.7M-south_boston_va_516934.jpg'],28,1000000,36.03101417833197,5824.0,8.304737106731292,0.32973714591935277
42,floatmatmult,"['matrix1_4000_0.3.txt', 'matrix1_4000_0.3.txt']",31,2400000,268.52206098554075,16738.0,20.22116525926031,0.24964390497189015
43,imageprocess,['13M-forest_515915.jpg'],13,1000000,59.62198896236846,16433.0,6.152550532048444,0.32620030199177563
44,linpack,['3500'],28,1000000,424.79301652972975,18471.0,31.29498673981283,0.17029578902292997
45,videoprocess,['6.1M-720.avi'],31,1000000,133.169734529231,14698.0,9.10642329453307,0.35214576101861894
46,encrypt,"['5000', '75']",2,2400000,66.71710149684579,4413.0,1.027078311582017,0.19870740093756467
47,imageprocess,['4.9M-seeing_red_515961.jpg'],19,2000000,23.640833615079263,3236.0,1.03732858608577,0.3210943880258128
48,floatmatmult,"['matrix1_1000_0.7.txt', 'matrix1_1000_0.7.txt']",31,2400000,42.302756359917055,2004.0,13.029816933810109,0.24429685599170625
49,imageprocess,['1.8M-deserted_bench_197838.jpg'],1,2400000,17.162656998927066,1888.0,1.047517155255849,0.3264605929143727
50,floatmatmult,"['matrix1_2000_0.3.txt', 'matrix1_2000_0.3.txt']",31,2400000,111.05172841379736,4298.0,11.728485101008095,0.24464686098508537
51,encrypt,"['500', '75']",5,2000000,4.221435956849146,602.0,7.069617040217117e-07,0.20727688097395003
52,linpack,['4000'],31,2400000,549.4976816956621,8828.0,33.8645861518356,0.17385669297073036
53,floatmatmult,"['matrix1_4000_0.7.txt', 'matrix1_4000_0.7.txt']",28,2400000,329.4279864281716,19505.0,29.704225781361792,0.24669240892399102
