,function_type,function_input,predicted_cpu,predicted_frequency,energy,duration,cpu_util,prediction_time
851,floatmatmult,"['matrix1_1000_0.7.txt', 'matrix1_1000_0.7.txt']",5,1600000,23.134644808220266,3012.0,3.0319158620335585,0.2032418220769614
852,imageprocess,['30M-river_landscape_515440.jpg'],31,1000000,46.29666796195967,12016.0,1.0809401705206712,0.27875693095847964
853,imageprocess,['3.2M-heathcote_515292.jpg'],13,1400000,11.632776142232116,2808.0,1.0667901480977642,0.27893026103265584
854,imageprocess,['2.5M-fashion_cupcakes_513638.jpg'],3,1200000,18.127711876893965,4456.0,1.0539172260630536,0.2846167259849608
855,videoprocess,['6.1M-720.avi'],25,2400000,116.63377522676072,6208.0,5.102672540805008,0.3108302199980244
856,videoprocess,['284K-flame.avi'],16,2000000,6.221869471893741,551.0,6.827642951931433e-06,0.30827853397931904
857,encrypt,"['50000', '50']",7,1000000,600.9726681696062,69969.0,1.016809359438814,0.16393575095571578
858,floatmatmult,"['matrix1_6000_0.3.txt', 'matrix1_6000_0.3.txt']",3,1000000,1274.1127688428624,129703.0,3.716047335478794,0.20352272794116288
859,videoprocess,['2.2M.mp4'],5,1800000,79.40138398077583,9567.0,3.159611403038702,0.3055697700474411
860,linpack,['5000'],3,1800000,1679.4344921841111,121794.0,3.4578096086708907,0.1400389700429514
861,linpack,['2000'],1,1200000,2817.526703084268,303413.0,1.399839561973536,0.13423602608963847
862,floatmatmult,"['matrix1_4000_0.7.txt', 'matrix1_4000_0.7.txt']",19,2200000,251.6618474912269,21593.0,19.91007453551092,0.20418889890424907
863,linpack,['500'],5,1000000,136.48579204984716,12919.0,5.895786956081,0.1368245870107785
864,videoprocess,['404K-small.avi'],5,2200000,7.133665953823528,1005.0,3.126629001454284,0.3035698679741472
865,videoprocess,['5.6M-DLP_PART_2_768k.avi'],22,1600000,246.50543754687607,13298.0,9.74300908946268,0.29886280791833997
866,imageprocess,['7.8M-26365_kitty_515094.jpg'],22,2200000,24.3880570812794,2620.0,1.0597977933607707,0.27638696995563805
867,linpack,['1000'],16,2400000,199.2587068192686,5571.0,17.213511844718695,0.13957264693453908
868,floatmatmult,"['matrix1_4000_0.7.txt', 'matrix1_4000_0.7.txt']",3,2400000,437.68470201120886,25433.0,3.328331790575918,0.20441231806762516
869,imageprocess,['2.5M-fashion_cupcakes_513638.jpg'],1,1600000,18.58166421971284,3697.0,1.067553395506478,0.2800615159794688
870,imageprocess,['28M-the_river_514681.jpg'],7,1000000,56.74733837530631,14860.0,1.0284775507906216,0.2796601599548012
871,linpack,['1000'],31,1400000,130.66920537291406,5103.0,34.147670794776495,0.13464822294190526
872,encrypt,"['1000', '75']",7,2200000,9.76051704354187,1007.0,1.038412133258995,0.16560693201608956
873,encrypt,"['10000', '25']",16,2400000,38.93597636546747,2933.0,1.0258004984741134,0.16642574593424797
874,floatmatmult,"['matrix1_2000_0.3.txt', 'matrix1_2000_0.3.txt']",22,2200000,72.63045214488488,4644.0,12.429324634504985,0.20204798609483987
