tid,start_time,end_time,function,container_id,duration,cold_start_latency,cpu,inputs,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip
#tid_ae1d2a2c4a014e752c265a448d4d5b97,2023-09-15T01:19:49.774Z,2023-09-15T01:20:02.545Z,floatmatmult_20,1aa19a893f600feba69255a5984a5d89dcbda852d667ff6e3fbb3be0177fdb23,12771,631,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_9143af0fefb0ecd69188c0ad1bfce029,2023-09-15T01:23:45.687Z,2023-09-15T01:23:58.541Z,floatmatmult_20,31ffcc4a03c4f24def6d863c4a49e285a5b859e585a82609304c9e995395bd45,12853,657,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_251a4d71d298b980f4e10a28ca12c334,2023-09-15T01:34:09.697Z,2023-09-15T01:34:22.639Z,floatmatmult_20,ec336397d9780d0ee95ff616efc96e44defdc73504cd51757a69dbc0c10ca742,12942,658,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_f3cbf3ef91a23d0f4cc727b1fd6e8d8c,2023-09-15T01:38:45.707Z,2023-09-15T01:38:58.383Z,floatmatmult_20,e4ea93a202b7341ca77ab844f2da3dba1a6326bc6aecad9dd4f62740b4830d9d,12675,652,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_32882bf9afc485d3be046112aa0e3951,2023-09-15T01:48:39.373Z,2023-09-15T01:48:52.338Z,floatmatmult_20,cc348cbef7e1b292f437233650d2d4ce15400b0f2057acfaa90e95d9ffef27bf,12964,664,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_23676aa46687f5c0e4d5dc9ddea05b47,2023-09-15T01:49:22.101Z,2023-09-15T01:49:34.654Z,floatmatmult_20,cc348cbef7e1b292f437233650d2d4ce15400b0f2057acfaa90e95d9ffef27bf,12552,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_3359ff6b4b0ef1092de6cf621e16dccd,2023-09-15T01:49:50.901Z,2023-09-15T01:50:02.948Z,floatmatmult_20,cc348cbef7e1b292f437233650d2d4ce15400b0f2057acfaa90e95d9ffef27bf,12046,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_b539e52ea3b46cf4889321c76193f525,2023-09-15T02:00:53.477Z,2023-09-15T02:00:56.434Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2957,369,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_1226e6e784668ab9975575fad320275f,2023-09-15T02:03:22.841Z,2023-09-15T02:03:25.353Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2511,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_a2d4209758aa8199589e287714a84385,2023-09-15T02:03:46.885Z,2023-09-15T02:03:49.397Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2511,0,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_121251ae8b1c30e9ffa9cc6b1e0585c7,2023-09-15T02:06:10.729Z,2023-09-15T02:06:13.258Z,imageprocess_20,e8d35d517c89ffca240bfe85200feae83e286d3b1e632fd9045c4b1e66bab446,2528,0,-1,"[-1, -1]",,,,,,129.114.108.158
