CPU	CPU%c6
41	99.93
45	99.90
47	99.37
43	99.95
39	99.49
 
CPU	CPU%c6
-	96.90
0	0.00
4	98.82
8	92.96
10	99.85
6	99.67
2	99.78
12	98.43
16	99.88
20	99.90
22	99.61
18	99.80
14	97.77
24	98.92
28	99.93
32	98.54
36	99.90
34	98.80
30	95.45
26	99.87
40	96.24
44	99.78
46	99.48
42	94.98
38	99.30
1	98.71
5	99.45
9	96.63
13	99.90
11	99.45
7	99.28
3	99.90
17	99.93
21	99.47
25	99.93
23	99.93
19	99.85
15	99.93
29	92.75
33	99.90
37	99.93
35	99.93
31	99.93
27	99.81
41	99.93
45	99.90
47	99.41
43	99.93
39	99.68
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.18
8	93.54
10	99.83
6	99.47
2	99.81
12	98.29
16	99.95
20	99.95
22	99.54
18	99.95
14	98.08
24	98.88
28	99.95
32	98.78
36	99.90
34	98.90
30	95.45
26	99.95
40	95.81
44	99.80
46	99.59
42	95.25
38	98.92
1	98.61
5	99.51
9	98.40
13	99.93
11	98.71
7	99.13
3	99.49
17	99.92
21	99.90
25	99.93
23	99.95
19	99.88
15	99.93
29	92.94
33	99.95
37	99.93
35	99.95
31	99.89
27	99.86
41	99.95
45	99.86
47	99.47
43	99.93
39	99.73
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.93
8	93.20
10	99.79
6	98.92
2	99.88
12	98.36
16	99.95
20	99.95
22	99.70
18	99.89
14	97.74
24	98.87
28	99.93
32	98.45
36	99.90
34	98.79
30	95.44
26	99.95
40	94.32
44	99.75
46	99.54
42	98.97
38	96.92
1	98.62
5	99.47
9	97.19
13	99.90
11	99.35
7	99.52
3	99.93
17	99.95
21	99.93
25	99.95
23	99.95
19	99.88
15	99.95
29	92.02
33	99.95
37	99.95
35	99.93
31	99.93
27	99.85
41	99.93
45	99.95
47	99.44
43	99.95
39	99.73
 
CPU	CPU%c6
-	96.94
0	0.00
4	99.40
8	93.17
10	99.78
6	98.56
2	99.30
12	98.34
16	99.90
20	99.90
22	99.63
18	99.93
14	97.73
24	98.88
28	99.93
32	98.70
36	99.90
34	98.84
30	95.45
26	99.93
40	94.74
44	99.83
46	99.59
42	98.21
38	96.90
1	98.44
5	99.49
9	99.09
13	99.88
11	99.86
7	99.88
3	99.83
17	99.90
21	99.90
25	99.93
23	99.90
19	99.80
15	99.93
29	92.58
33	99.93
37	99.93
35	99.92
31	99.88
27	99.83
41	99.93
45	99.93
47	99.42
43	99.93
39	99.46
 
CPU	CPU%c6
-	96.90
0	0.00
4	99.93
8	93.17
10	99.85
6	98.74
2	99.77
12	98.23
16	99.95
20	99.93
22	99.49
18	99.95
14	97.71
24	98.90
28	99.95
32	98.17
36	99.92
34	98.79
30	95.49
26	99.93
40	98.27
44	99.66
46	99.63
42	94.77
38	96.79
1	98.25
5	99.68
9	97.81
13	99.92
11	98.95
7	99.36
3	99.89
17	99.95
21	99.90
25	99.95
23	99.95
19	99.90
15	99.93
29	92.26
33	99.93
37	99.92
